Year;Quarter;City;Property_Type;Index;Price;Inflation
1963;1;Hamburg;Einfamilienhäuser;;400;0
1963;1;Hamburg;Einfamilienhäuser;;1200;1
1963;2;Hamburg;Einfamilienhäuser;;1100;1
1963;2;Hamburg;Einfamilienhäuser;;300;0
1963;3;Hamburg;Einfamilienhäuser;;1200;1
1963;3;Hamburg;Einfamilienhäuser;;400;0
1963;4;Hamburg;Einfamilienhäuser;;300;0
1963;4;Hamburg;Einfamilienhäuser;;900;1
1963;;Hamburg;Einfamilienhäuser;;1100;1
1963;;Hamburg;Einfamilienhäuser;;300;0
1964;1;Hamburg;Einfamilienhäuser;;400;0
1964;1;Hamburg;Einfamilienhäuser;;1200;1
1964;2;Hamburg;Einfamilienhäuser;;1200;1
1964;2;Hamburg;Einfamilienhäuser;;400;0
1964;3;Hamburg;Einfamilienhäuser;;1200;1
1964;3;Hamburg;Einfamilienhäuser;;400;0
1964;4;Hamburg;Einfamilienhäuser;;1100;1
1964;4;Hamburg;Einfamilienhäuser;;400;0
1964;;Hamburg;Mehrfamilienhäuser;41,58223572;;1
1964;;Hamburg;Mehrfamilienhäuser;13,25655542;;0
1964;;Hamburg;Eigentumswohnungen;79,00214517;;1
1964;;Hamburg;Eigentumswohnungen;25,18614735;;0
1964;;Hamburg;Einfamilienhäuser;48,309395;1200;1
1964;;Hamburg;Einfamilienhäuser;15,40119624;400;0
1965;1;Hamburg;Einfamilienhäuser;;400;0
1965;1;Berlin;Mehrfamilienhäuser;24,80720985;;1
1965;1;Berlin;Einfamilienhäuser;37,75248005;;1
1965;1;Berlin;Mehrfamilienhäuser;8,050328255;;0
1965;1;Hamburg;Einfamilienhäuser;;1200;1
1965;1;Berlin;Einfamilienhäuser;12,25127125;;0
1965;2;Hamburg;Einfamilienhäuser;;400;0
1965;2;Hamburg;Einfamilienhäuser;;1300;1
1965;2;Berlin;Einfamilienhäuser;12,12887287;;0
1965;2;Berlin;Einfamilienhäuser;37,00310342;;1
1965;2;Berlin;Mehrfamilienhäuser;9,139120102;;0
1965;2;Berlin;Mehrfamilienhäuser;27,88188234;;1
1965;3;Hamburg;Einfamilienhäuser;;400;0
1965;3;Hamburg;Einfamilienhäuser;;1300;1
1965;3;Berlin;Einfamilienhäuser;40,50968587;;1
1965;3;Berlin;Einfamilienhäuser;13,38845158;;0
1965;3;Berlin;Mehrfamilienhäuser;27,15029903;;1
1965;3;Berlin;Mehrfamilienhäuser;8,973174095;;0
1965;4;Berlin;Mehrfamilienhäuser;31,08633919;;1
1965;4;Hamburg;Einfamilienhäuser;;500;0
1965;4;Hamburg;Einfamilienhäuser;;1600;1
1965;4;Berlin;Einfamilienhäuser;14,05620384;;0
1965;4;Berlin;Einfamilienhäuser;42,11416609;;1
1965;4;Berlin;Mehrfamilienhäuser;10,37550926;;0
1965;;GREIX;Mehrfamilienhäuser;40,45354688;300;1
1965;;Berlin;Einfamilienhäuser;12,68525505;;0
1965;;Berlin;Mehrfamilienhäuser;29,52553644;;1
1965;;GREIX;Einfamilienhäuser;15,05606002;300;0
1965;;GREIX;Eigentumswohnungen;22,61543722;400;0
1965;;GREIX;Eigentumswohnungen;68,71069522;1300;1
1965;;GREIX;Mehrfamilienhäuser;13,3148726;100;0
1965;;Hamburg;Einfamilienhäuser;18,50670964;500;0
1965;;Hamburg;Einfamilienhäuser;56,22747788;1400;1
1965;;GREIX;Einfamilienhäuser;45,74366044;900;1
1965;;Berlin;Mehrfamilienhäuser;9,718033791;;0
1965;;Hamburg;Eigentumswohnungen;27,38843515;;0
1965;;Hamburg;Eigentumswohnungen;83,21212476;;1
1965;;Berlin;Einfamilienhäuser;38,54061103;;1
1965;;Hamburg;Mehrfamilienhäuser;16,60546845;;0
1965;;Hamburg;Mehrfamilienhäuser;50,45108654;;1
1966;1;Hamburg;Einfamilienhäuser;;400;0
1966;1;Berlin;Mehrfamilienhäuser;31,78440152;;1
